researcher_name,obrss_name,correct_match
Journal of Intelligent Information Systems32(3):267-295,Information Systems Journal,no
Artificial Intelligence in Medicine24(1):51-70,Inteligencia Artificial,no
International Journal of Web Engineering and Technology3(2):139-156,Journal of Web Engineering,no
Computers in Entertainment8(4),Advances in Computers,no
GeoInformatica5(4):345-373,e-Informatica,no
"Proceedings of the 2009 Conference in Games and Virtual Worlds for Serious Applications, VS-GAMES 2009161-165",International Conference on Games and Virtual Worlds for Serious Applications,yes
Journal on Multimodal User Interfaces12(1):31-39,Australasian User Interface Conference,no
Computational Intelligence35(2):285-309,Computational Intelligence,yes
Expert Systems,Expert Systems,yes
Proceedings of the VLDB Endowment13(9):1582-1597,Proceedings of the VLDB Endowment,yes
Mathematics of Computation84(293):1389-1399,Mathematics of Computation,yes
GeoInformatica16(3):409-434,Informatica,no
Proceedings of the 9th Workshop on Algorithm Engineering and Experiments and the 4th Workshop on Analytic Algorithms and Combinatorics3-12,Algorithm Engineering and Experimentation,yes
19th IEEE International Conference on Mobile Data Management,International Conference on Mobile Data Management,yes
ACM Transactions on Design Automation of Electronic Systems15(2),ACM Transactions on Design Automation of Electronic Systems,yes
Information Fusion9(1):56-68,Informatica,no
Journal of Intelligent Information Systems35(2):301-331,Australian Journal of Intelligent Information Processing Systems,no
Knowledge and Information Systems37(1):61-81,Information Systems,no
"Proceedings of the 2009 Conference in Games and Virtual Worlds for Serious Applications, VS-GAMES 2009161-165",Serious Games Development and Applications,no
Algorithm Theory â€“ SWAT 20064059:53-64,Workshops,no
"Proceedings - 25th IEEE International Parallel and Distributed Processing Symposium, IPDPS 20111114-1123",International Parallel and Distributed Processing Symposium,yes
"Proceedings of the 14th International AAAI Conference on Web and Social Media, ICWSM 2020229-239",International AAAI Conference on Web and Social Media,yes
19th IEEE International Conference on Mobile Data Management,iConference,no
WWW 2015 Companion - Proceedings of the 24th International Conference on World Wide Web1545,Australian World Wide Web Conference,no
International Journal of Computer Games Technology2010:4,Journal of Computing and Information Technology,no
"International Journal of Parallel, Emergent and Distributed Systems34(6):671-689","International Journal of Parallel, Emergent and Distributed Systems",yes
International Journal on Artificial Intelligence Tools21(2),Inteligencia Artificial,no
Artificial Intelligence in Medicine24(1):51-70,European Society for Artificial Intelligence in Medicine,yes
ACM Transactions on Algorithms4(4),Algorithmica,no
Software - Practice and Experience47(11):1837-1874,Information Security Practice and Experience,no
International Journal of Human Computer Studies64(8):637-647,Conference of the Australian Computer-Human Interaction,no
Journal of Systems Architecture57(4):383-391,Architecture of Computing Systems,no
Computational Intelligence35(2):285-309,Computational Intelligence and Security,no
IEEE Intelligent Systems130-135,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,no
Educational Data Mining613-614,IEEE International Conference on Data Mining,no
Expert Systems ,International Workshop on Database and Expert Systems Appli,no
Journal of Parallel and Distributed Computing73(10):1362-1374,International Journal of Parallel and Distributed Systems and Networks,no
International Journal of Ambient Computing and Intelligence2(3):19-39,International Journal of Intelligent Systems,no
Journal on Multimodal User Interfaces8(1):87-96,Australasian User Interface Conference,no
IEEE Transactions on Services Computing7(3):359-372,Services,no
WWW 2015 Companion - Proceedings of the 24th International Conference on World Wide Web1545,International World Wide Web Conference,yes
Computer Networks88:218-233,Computer Networks,yes
Information Fusion6(1):83-98,Information Fusion and Geographical Information Systems,no
IEEE Transactions on Services Computing7(3):359-372,IEEE Transactions on Services Computing,yes
Annual ACM Symposium on Parallelism in Algorithms and Architectures181-187,Architectures,no
"25th International World Wide Web Conference, WWW 2016879-889",International World Wide Web Conference,yes
Journal of Complex Networks2(1):19-37,International Journal of Network Security,no
HT 2018 - Proceedings of the 29th ACM Conference on Hypertext and Social Media251-252,ACM Conference on Hypertext and Hypermedia,yes
Personal and Ubiquitous Computing19(8):1233-1245,Personal and Ubiquitous Computing,yes
International journal of neural systems10(4):267-279,Systems,no
Journal on Multimodal User Interfaces12(1):31-39,Journal on Multimodal User Interfaces,yes
Natural Language Engineering19(3):357-384,Natural Language Engineering,yes
International Journal on Artificial Intelligence Tools14(1/2):61-76,International Journal on Artificial Intelligence Tools,yes
Journal of Ambient Intelligence and Smart Environments2(3):253-269,International Journal of Ambient Computing and Intelligence,no
Information Visualization7(3-4),Information Visualization,yes
International Journal of Human Computer Studies69(4):251-268,International Journal of Human-Computer Studies,yes
Int. J. Intell. Games & Simulation2(1):28-35,International Journal of Intelligent Games & Simulation,yes
Computational Intelligence35(2):285-309,International Joint Conference on Computational Intelligence,no
International Journal of Geographical Information Science27(10):2099-2118,International Journal of Geographical Information Science,yes
Proceedings of the 9th Workshop on Algorithm Engineering and Experiments and the 4th Workshop on Analytic Algorithms and Combinatorics3-12,ACM Journal of Experimental Algorithmics,no
International Journal of Web Engineering and Technology6(4):354-374,WEB,no
Journal on Multimodal User Interfaces7(1-2):19-28,Journal on Multimodal User Interfaces,yes
International Journal of Multimedia and Ubiquitous Engineering3(2):103-116,FTRA International Conference on Multimedia and Ubiquitous Engineering,no
Concurrency Computation Practice and Experience24(9):992-1014,Software: Practice and Experience,no
"ACM Transactions on Multimedia Computing, Communications and Applications6(1)",Communication,no
"Proceedings - IEEE 27th International Parallel and Distributed Processing Symposium, IPDPS 2013407-417",International Symposium on Parallel and Distributed Processing and Applications,no
"International Conference on Information and Knowledge Management, Proceedings55-62",Informatica,no
Web and Wireless Geographical Information Systems7236:151-166,Informatica,no
Information Visualization7(3-4):275-286,Visualization and Information Security Management,no
Journal on Multimodal User Interfaces8(1):87-96,Intelligent User Interfaces,no
International Journal of Ambient Computing and Intelligence2(3):19-39,Journal of Ambient Intelligence and Smart Environments,no
Computers in Entertainment8(4),Artificial Intelligence and Interactive Digital Entertainment,no
Neural Computing and Applications,Neural Computing and Applications,yes
GeoInformatica16(3):409-434,Informatica,no
International Journal of Communication Networks and Distributed Systems6(1):3-11,Communication,no
GeoInformatica14(2):135-162,Symposium on Bioinformatics,no
International Journal of Human Computer Studies64(8):637-647,International Journal of Mobile Human Computer Interaction,no
WWW 2015 Companion - Proceedings of the 24th International Conference on World Wide Web1545,Computation,no
Neural Computing and Applications,Natural Computing,no
Journal of Complex Networks2(1):19-37,Simplifying Complex Networks for Practitioners,no
International Journal of Geographical Information Science20(5):511-534,Journal of Computer Science,no
Knowledge and Information Systems45(2):473-490,International Conference on Knowledge-Based and Intelligent Information & Engineering Systems,no
"2019 11th International Conference on Quality of Multimedia Experience, QoMEX 2019",iConference,no
ACM Transactions on Design Automation of Electronic Systems15(3),Design Automation Conference,no
Multimedia Tools and Applications48(1):141-159,"Workshop on Language Descriptions, Tools and Applications",no
"2019 11th International Conference on Quality of Multimedia Experience, QoMEX 2019",Quality of Multimedia Experience,yes
Journal on Multimodal User Interfaces8(1):87-96,Journal on Multimodal User Interfaces,yes
Interacting with Computers17(4):343-366,Conference on Human-Computer Interaction with Mobile Devices and Services,no
Mobile Information Systems8(4):287-301,Security and Privacy in Mobile Information and Communication Systems,no
"IEEE International Workshop on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems - Proceedings409-417",Telecommunication  Systems,no
"Proceedings - IEEE 27th International Parallel and Distributed Processing Symposium, IPDPS 2013407-417",International Parallel and Distributed Processing Symposium,yes
Journal of Systems Architecture57(4):383-391,International Journal of High Performance Systems Architecture,no
Interacting with Computers17(4):343-366,International Conference on Human Computer Interaction,no
Personal and Ubiquitous Computing19(8):1233-1245,International Journal of Ad Hoc and Ubiquitous Computing,no
IEEE Transactions on Services Computing7(3):359-372,IEEE International Conference on Services Computing,no
International Journal of Ambient Computing and Intelligence2(3):19-39,International Journal of Ambient Computing and Intelligence,yes
Evolving Systems4(1):13-25,Evolving Systems,yes
ACM Transactions on Knowledge Discovery from Data12(3),IEEE Transactions on Knowledge & Data Engineering,no
Educational Data Mining613-614,Data Mining in Bioinformatics,no
ACM Transactions on Sensor Networks10(2),ACM Transactions on Algorithms,no
International Journal on Artificial Intelligence Tools14(1/2):61-76,Artificial Intelligence,no
Artificial Intelligence Review25(1-2):55-65,Revue d'Intelligence Artificielle,no
"International Conference on Information and Knowledge Management, Proceedings55-62",International Conference on Information and Knowledge Management,yes
"ARCS Workshops, ARCS 2012",Workshop On Computer Architecture Education,no
International Journal on Artificial Intelligence Tools14(1-2):61-76,International Conference on Artificial Intelligence,no
Journal of Ambient Intelligence and Smart Environments2(3):253-269,Journal of Ambient Intelligence and Humanized Computing,no
Interacting with Computers17(4):343-366,Workshop on Interaction between Compilers and Computer Architectures,no
Int. J. Intell. Games & Simulation2(1):28-35,International Journal of Computer Games Technology,no
International journal of neural systems10(4):267-279,International Journal of Neural Systems,yes
Computer Networks69:51-65,Computer Networks,yes
International Journal of Communication Networks and Distributed Systems6(1):3-11,International Journal of Communication Systems,no
ACM Inroads10(2):42-49,SIGCSE Bulletin Inroads,no
International Journal of Ambient Computing and Intelligence2(3):19-39,Journal of Computers,no
GeoInformatica18(4):747-767,Geoinformatica,yes
"International Conference on Information and Knowledge Management, Proceedings55-62","Management""",no
International Journal of Data Warehousing and Mining8(1):24-51,International Journal of Data Mining and Bioinformatics,no
Journal of Intelligent Information Systems32(3):267-295,Australian Journal of Intelligent Information Processing Systems,no
"Proceedings - IEEE International Conference on Data Mining, ICDM53-60",IEEE International Conference on Data Engineering,no
"The Web Conference 2018 - Proceedings of the World Wide Web Conference, WWW 2018489-498",International World Wide Web Conference,yes
Information (Switzerland)9(7),Information (Switzerland),yes
Computers in Entertainment8(4),Entertainment Computing,no
Multimedia Tools and Applications48(1):141-159,Multimedia Tools and Applications,yes
Journal of Complex Networks2(1):19-37,Journal of Complex Networks,yes
International Journal of Geographical Information Science30(5):835-853,International Journal of Geographical Information Science,yes
Artificial Intellingence Review,Inteligencia Artificial,no
International Journal on Artificial Intelligence Tools14(1/2):61-76,International Conference on Tools with Artificial Intelligence,no
ACM Transactions on Design Automation of Electronic Systems15(2),Design,no
Information Fusion9(1):56-68,Informatica,no
"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings3697-3701",iConference,no
International Journal of Human Computer Studies64(8):637-647,International Journal of Human-Computer Studies,yes
GeoInformatica16(3):409-434,Geoinformatica,yes
Multimedia Tools and Applications54(2):473-497,Multimedia Systems,no
FLAIRS 2006 - Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference2006:86-91,The Journal of Artificial Intelligence Research,no
International Journal of Computer Games Technology2010:4,Journal of Computers,no
Mathematics of Computation84(293):1389-1399,Computation,no
"Proceedings of the 2012 IEEE 26th International Parallel and Distributed Processing Symposium, IPDPS 2012836-847",Journal of Parallel and Distributed Computing,no
"ACM Transactions on Multimedia Computing, Communications and Applications6(1)",Communications and Multimedia Security,no
IEEE Transactions on Parallel and Distributed Systems30(1):218-229,Conference on Distributed and Parallel Embedded Systems,no
ACM Transactions on Knowledge Discovery from Data12(3),Data Mining and Knowledge Discovery,no
IEEE Transactions on Services Computing7(3):359-372,IEEE Transactions on Services Computing,yes
"2011 Proceedings of the 13th Workshop on Algorithm Engineering and Experiments, ALENEX 2011139-150",Algorithm Engineering and Experimentation,yes
Annual ACM Symposium on Parallelism in Algorithms and Architectures181-187,International Symposium on Computer Architecture,no
Journal of Location Based Services10(2):142-159,Journal of Location Based Services,yes
International Journal of Geographical Information Science27(10):2099-2118,International Conference on Geographic Information Science,no
Personal and Ubiquitous Computing19(8):1233-1245,Embedded and Ubiquitous Computing,no
Multimedia Tools and Applications48(1):141-159,ACM Transactions on Multimedia Computing Communications and Applications,no
Computational Intelligence35(2):285-309,International Journal of Computational Intelligence and Applications,no
"25th International World Wide Web Conference, WWW 2016879-889",Australian World Wide Web Conference,no
"Proceedings of the 2009 Conference in Games and Virtual Worlds for Serious Applications, VS-GAMES 2009161-165",Computers and Games,no
ACM Transactions on Design Automation of Electronic Systems15(3),ACM Transactions on Design Automation of Electronic Systems,yes
Journal of Intelligent Information Systems32(3):267-295,International Journal of Intelligent Information and Database Systems,no
Proceedings of the 9th Workshop on Algorithm Engineering and Experiments and the 4th Workshop on Analytic Algorithms and Combinatorics3-12,International Workshop on Combinatorial Image Analysis,no
GeoInformatica5(4):345-373,Symposium on Bioinformatics,no
International Journal of Communication Networks and Distributed Systems6(2):176-201,Journal of Networks,no
Journal of Intelligent Information Systems35(2):301-331,Information Systems Journal,no
Artificial Intelligence Review24(3-4):489-515,Artificial Intelligence Review,yes
Annual ACM Symposium on Parallelism in Algorithms and Architectures181-187,Algorithmica,no
ACM Transactions on Sensor Networks10(2),Sensor Networks,no
Multimedia Systems10(5):392-401,Virtual Systems and Multimedia,no
Journal of Low Power Electronics2(3):477-487,Journal of Low Power Electronics,yes
Multimedia Tools and Applications54(2):473-497,Signal Processing and Multimedia Applications,no
Multimedia Tools and Applications54(2):473-497,ACM Transactions on Multimedia Computing Communications and Applications,no
Neural Computing and Applications,Engineering Applications of Neural Network,no
"International Conference on Information and Knowledge Management, Proceedings55-62",Informatica,no
Artificial Intellingence Review,Artificial Intelligence Review,yes
Natural Language Engineering19(3):357-384,International Conference on Natural Language Processing,no
International Journal of Communication Networks and Distributed Systems6(2):176-201,Journal of Communications and Networks,no
Language Resources and Evaluation47(1):239-268,Sources,no
Expert Systems ,EGOV-CeDEM-ePart,no
ACM Transactions on Sensor Networks10(2),ACM Transactions on Graphics,no
Algorithm Theory â€“ SWAT 20064059:53-64,Scandinavian Workshop on Algorithm Theory,yes
"International Journal of Parallel, Emergent and Distributed Systems34(6):671-689",International Journal of Parallel and Distributed Systems and Networks,no
Computational Intelligence35(2):285-309,Artificial Intelligence and Computational Intelligence,no
Telecommunication Systems52(4):2667-2675,"Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",no
GeoInformatica16(3):409-434,Symposium on Bioinformatics,no
Computational Intelligence35(2):285-309,Computational Intelligence and Security,no
Artificial Intelligence in Medicine24(1):51-70,International Conference on Artificial Intelligence,no
COMPUTATIONAL INTELLIGENCE17(2):193-195 (3 pages),International Joint Conference on Computational Intelligence,no
"2011 Proceedings of the 13th Workshop on Algorithm Engineering and Experiments, ALENEX 2011139-150",ACM Journal of Experimental Algorithmics,no
Information Fusion9(1):56-68,Information Fusion and Geographical Information Systems,no
Journal of Systems Architecture57(4):383-391,Architectures,no
International Journal of Web Engineering and Technology6(4):354-374,International Journal of Web Engineering and Technology,yes
Mobile Information Systems8(4):287-301,Informatica,no
Multimedia Tools and Applications54(2):473-497,"Workshop on Language Descriptions, Tools and Applications",no
Digital Investigation10(1):34-43,Digital Investigation,yes
International Journal on Artificial Intelligence Tools14(1-2):61-76,International Conference on Tools with Artificial Intelligence,no
International Symposium on Spatial Data Handling,International Symposium on Spatial Data Handling,yes
HT 2018 - Proceedings of the 29th ACM Conference on Hypertext and Social Media251-252,iConference,no
COSN 2014 - Proceedings of the 2014 ACM Conference on Online Social Networks51-62,Workshop on Online Social Networks,yes
International Journal of Human Computer Studies69(4):251-268,Journal of Human-Robot Interaction,no
Computers in Entertainment8(4),Australasian Conference on Interactive Entertainment,no
IEEE Transactions on Parallel and Distributed Systems30(1):218-229,Distributed and Parallel Databases,no
COSN 2014 - Proceedings of the 2014 ACM Conference on Online Social Networks51-62,Social Informatics,no
"IEEE International Workshop on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems - Proceedings409-417","Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",yes
GeoInformatica16(3):409-434,e-Informatica,no
International Journal of Geographical Information Science30(5):835-853,Journal of Computer Science,no
Language Resources and Evaluation47(1):239-268,International Conference on Language Resources and Evaluation,yes
Computational Intelligence35(2):285-309,International Journal of Computational Intelligence and Applications,no
Concurrency Computation Practice and Experience24(9):992-1014,Concurrency and Computation: Practice & Experience,yes
ACM Transactions on Sensor Networks10(2),ACM Transactions on Sensor Networks,yes
GeoInformatica5(4):345-373,Geoinformatica,yes
Web and Wireless Geographical Information Systems7236:151-166,Informatica,no
International Journal of Human Computer Studies69(4):251-268,International Journal of Technology and Human Interaction,no
"2019 11th International Conference on Quality of Multimedia Experience, QoMEX 2019",Quality of Information Systems,no
ACM Transactions on Design Automation of Electronic Systems15(2),Automation,no
"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings3697-3701","International Conference on Acoustics, Speech and Signal Processing",yes
International Journal of Geographical Information Science35(1):84-115,International Journal of Geographical Information Science,yes
ACM Transactions on Algorithms4(4),ACM Transactions on Computer Systems,no
Journal on Multimodal User Interfaces7(1-2):19-28,Australasian User Interface Conference,no
"Proceedings of the 2012 IEEE 26th International Parallel and Distributed Processing Symposium, IPDPS 2012836-847",International Parallel and Distributed Processing Symposium,yes
8th International Conference on Mobile Data Management,iConference,no
Virtual Reality18(2):139-159,IEEE Virtual Reality Annual International Symposium,no
Interacting with Computers17(4):343-366,Interacting with Computers,yes
"The Web Conference 2018 - Proceedings of the World Wide Web Conference, WWW 2018489-498",Australian World Wide Web Conference,no
Knowledge Engineering Review33,Computing Reviews,no
International Journal of Computational Intelligence and Applications01(01):71-82,International Journal of Computational Intelligence and Applications,yes
ACM Transactions on Sensor Networks10(1),ACM Transactions on Sensor Networks,yes
Journal of Parallel and Distributed Computing73(10):1362-1374,Journal of Parallel and Distributed Computing,yes
Multimedia Tools and Applications54(2):473-497,Multimedia Tools and Applications,yes
Natural Language Engineering19(3):357-384,Bioengineering,no
IEEE Intelligent Systems130-135,The IEEE Intelligent Informatics Bulletin,no
"2013 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2013245-246",International Symposium on Mixed and Augmented Reality,yes
"The Web Conference 2018 - Proceedings of the World Wide Web Conference, WWW 2018489-498",iConference,no
"Proceedings - 25th IEEE International Parallel and Distributed Processing Symposium, IPDPS 20111114-1123",International Conference on Parallel and Distributed Systems,no
"Proceedings - IEEE International Conference on Data Mining, ICDM53-60",IEEE International Conference on Data Mining,yes
International Journal of Human Computer Studies69(4):251-268,International Journal of Mobile Human Computer Interaction,no
8th International Conference on Mobile Data Management,International Conference on Management of Data,no
Artificial Intelligence Review27(4 SPEC. ISS.):209-222,Computing Reviews,no
Computational Intelligence35(2):285-309,International Joint Conference on Computational Intelligence,no
International Journal on Artificial Intelligence Tools14(1-2):61-76,Inteligencia Artificial,no
"ARCS Workshops, ARCS 2012",Architecture of Computing Systems,yes
Artificial Intelligence Review27(4 SPEC. ISS.):209-222,Artificial Intelligence Review,yes
IJCAI International Joint Conference on Artificial Intelligence2244-2249,Artificial Intelligence,no
Personal and Ubiquitous Computing19(8):1233-1245,Ubiquitous Intelligence and Computing,no
8th International Conference on Mobile Data Management,ICDE Workshop on Secure Data Management on Smartphones and Mobiles,no
Artificial Intelligence in Medicine24(1):51-70,Artificial Intelligence in Education,no
GeoInformatica18(1):1-26,Geoinformatica,yes
"Proceedings of the 2009 Conference in Games and Virtual Worlds for Serious Applications, VS-GAMES 2009161-165",iConference,no
International Journal of Geographical Information Science21(8):895-906,Informatica,no
4th International Conference on Geographic Information Science,International Conference on Geographic Information Science,yes
Cooperative Information Agents,Agent Systems,no
Journal on Multimodal User Interfaces7(1-2):19-28,IEEE Symposium on 3D User Interfaces,no
Information Fusion9(1):56-68,Information Fusion,yes
International Journal of Web Engineering and Technology3(2):139-156,WEB,no
4th International Conference on Geographic Information Science,Informatica,no
Mobile Information Systems8(4):287-301,Information Systems,no
Journal of Low Power Electronics2(3):477-487,International Symposium on Low Power Electronics and Design,no
Educational Data Mining613-614,International Conference on Data Mining,no
Mobile Information Systems8(4):287-301,Systems,no
Journal of Visual Languages and Computing18(3):255-279,Computer Languages,no
Language Resources and Evaluation47(1):239-268,iConference,no
International Journal of Communication Networks and Distributed Systems6(2):176-201,Communication,no
ACM Transactions on Knowledge Discovery from Data12(3),ACM Transactions on Knowledge Discovery from Data,yes
International Journal of Communication Networks and Distributed Systems6(2):176-201,International Journal of Communication Systems,no
International Journal of Ambient Computing and Intelligence2(3):19-39,Journal of Ambient Intelligence and Humanized Computing,no
8th International Conference on Mobile Data Management,International Conference on Mobile Data Management,yes
Journal of Complex Networks2(1):19-37,Journal of Networks,no
Interacting with Computers17(4):343-366,Engineering with Computers,no
ACM Transactions on Algorithms4(4),ACM Transactions on Algorithms,yes
Mobile Information Systems8(4):287-301,Mobile Information Systems,yes
International Journal on Artificial Intelligence Tools21(2),International Journal on Artificial Intelligence Tools,yes
Knowledge and Information Systems45(2):473-490,Systems,no
Journal of Intelligent Information Systems32(3):267-295,Journal of Intelligent Information Systems,yes
International Journal of Computational Intelligence and Applications01(01):71-82,Applications,no
Proceedings of the Workshop on Algorithm Engineering and Experiments2015-January(January):159-172,Algorithm Engineering and Experimentation,yes
Software - Practice and Experience47(11):1837-1874,Software Process Improvement and Practice,no
Knowledge and Information Systems45(2):473-490,Information Systems,no
Virtual Reality18(2):139-159,Virtual Reality,yes
International Journal of Communication Networks and Distributed Systems6(1):3-11,Journal of Networks,no
"Proceedings - IEEE International Conference on Data Mining, ICDM53-60",iConference,no
ACM Transactions on Design Automation of Electronic Systems15(2),Design Automation Conference,no
"ARCS Workshops, ARCS 2012",Journal of Systems Architecture,no
Telecommunication Systems52(4):2667-2675,"Modeling, Analysis, and Simulation On Computer and Telecommunication  Systems",no
